title,url,due_date
Prepare for Technical Interviews Using Neetcode 150,https://www.freecodecamp.org/news/prepare-for-technical-interviews-using-neetcode-150,
Improve Your Technical Writing Skills to Advance Your Career,https://www.freecodecamp.org/news/improve-your-technical-writing-skills-to-advance-your-career/,
"How to Become an Analytical Programmer – Solve the ""Rock, Paper, Scissors"" Game 5 Ways Using JavaScript & Mermaid.js",https://www.freecodecamp.org/news/how-to-become-an-analytical-programmer-compare-five-projects/,
Microsoft Word - ISTQB-CTAL-ATT_Syllabus_V1.1.docx,https://www.bcs.org/media/8030/swt-istqb-agile-technical-tester-syllabus.pdf,
ISTQB Certified Tester - Foundation Level Syllabus v4.0,https://www.bcs.org/media/ilhdvwam/istqb-certified-tester-syllabus.pdf,
Template Syllabus,https://www.bcs.org/media/1936/solution-development-devops-foundation-syllabus.pdf,
ita-data-architecture-syllabus.pdf,https://www.bcs.org/media/10828/ita-data-architecture-syllabus.pdf,
ita-cloud-infrastructure-architecture-syllabus.pdf,https://www.bcs.org/media/dmzfxvtq/ita-cloud-infrastructure-architecture-syllabus.pdf,
fc-architecture-concepts-domains-syllabus.pdf,https://www.bcs.org/media/9218/fc-architecture-concepts-domains-syllabus.pdf,
ita-esa-practitioner-syllabus.pdf,https://www.bcs.org/media/10830/ita-esa-practitioner-syllabus.pdf,
Solution Development Oral Examination Syllabus V2.1,https://www.bcs.org/media/2396/sd-diploma-syllabusv3.pdf,
Apache-Airflow-Fundamentals-Study-Guide.pdf,https://www.astronomer.io/uploads/Apache-Airflow-Fundamentals-Study-Guide.pdf,31/12/2025
Certification Exam: DAG Authoring (Airflow 3),https://academy.astronomer.io/certification-exam-dag-authoring-airflow-3?_gl=1*1u3hesi*_up*MQ..*_ga*NTY3ODkyOTgwLjE3NjI3NjU3MjM.*_ga_14DHW7X721*czE3NjI3NjU3MjMkbzEkZzAkdDE3NjI3NjU3MjMkajYwJGwwJGgw*_ga_GJKXZ8W5DN*czE3NjI3NjU3MjMkbzEkZzAkdDE3NjI3NjU3MjMkajYwJGwwJGgw,
Study guide for Exam AZ-400: Designing and Implementing Microsoft DevOps Solutions | Microsoft Learn,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-400,
Study Guide for Exam DP-700: Implementing Data Engineering Solutions Using Microsoft Fabric | Microsoft Learn,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/dp-700,01/09/2026
Study guide for Exam AZ-305: Designing Microsoft Azure Infrastructure Solutions | Microsoft Learn,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-305,
Study guide for Exam AI-102: Designing and Implementing a Microsoft Azure AI Solution | Microsoft Learn,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/ai-102,
Free Foundational C# with Microsoft Certification | freeCodeCamp.org,https://www.freecodecamp.org/learn/foundational-c-sharp-with-microsoft/,
Hugging Face - Learn,https://huggingface.co/learn,
Introduction,https://huggingface.co/learn/llm-course/chapter1/1#faq,
Welcome to the 🤗 Model Context Protocol (MCP) Course,https://huggingface.co/learn/mcp-course/unit0/introduction#the-certification-process,
Welcome to the 🤗 AI Agents Course,https://huggingface.co/learn/agents-course/unit0/introduction#certification-process,
Welcome to the Community Computer Vision Course,https://huggingface.co/learn/computer-vision-course/unit0/welcome/welcome#course-structure,
github-foundations-exam-study-guide,https://assets.ctfassets.net/wfutmusr1t3h/1kmMx7AwI4qH8yIZgOmQlP/79e6ff1dfdee589d84a24dd763b1eef7/github-foundations-exam-study-guide__1_.pdf,
dbt-certificate-study-guide-for-cloud-architect,https://www.getdbt.com/dbt-assets/dbt-certificate-study-guide-for-cloud-architect,
dbt-certificate-study-guide,https://www.getdbt.com/dbt-assets/certifications/dbt-certificate-study-guide,
Introduction to GX Core | Great Expectations,https://docs.greatexpectations.io/docs/core/introduction/,
OpenMetadata Documentation: Get Help Instantly,https://docs.open-metadata.org/latest,
Kimball Techniques - Kimball Group,https://www.kimballgroup.com/data-warehouse-business-intelligence-resources/kimball-techniques/,
Articles & Design Tips Archives - Kimball Group,https://www.kimballgroup.com/category/articles-design-tips/,
Conventional Commits,https://www.conventionalcommits.org/en/v1.0.0/,
How to Practice Logging in Python with Logzero,https://www.freecodecamp.org/news/good-logging-practice-in-python-with-logzero/,
A Comprehensive Guide to Logging in Python | Better Stack Community,https://betterstack.com/community/guides/logging/how-to-start-logging-with-python/,
Logging Best Practices: 12 Dos and Don'ts | Better Stack Community,https://betterstack.com/community/guides/logging/logging-best-practices/,
How to Create an Interactive Terminal Portfolio Website,https://www.freecodecamp.org/news/how-to-create-an-interactive-terminal-portfolio-website/,
Docker Workshop,https://docs.docker.com/get-started/workshop/,
